Timestamp,UCASS2_counts,UCASS6_counts,WS_ms_Avg,median_wind_threshold_ms,wind_class
2026-07-10 06:50:00,14,5,1.3121140939597316,1.4890833333333333,low
2026-07-10 07:00:00,10,3,1.21065,1.4890833333333333,low
2026-07-10 07:10:00,25,6,1.8351833333333332,1.4890833333333333,high
2026-07-10 07:20:00,11,5,1.4890833333333333,1.4890833333333333,high
2026-07-10 07:30:00,7,7,1.3978166666666667,1.4890833333333333,low
2026-07-10 07:40:00,17,4,1.96255,1.4890833333333333,high
2026-07-10 07:50:00,6,1,1.1683333333333332,1.4890833333333333,low
2026-07-10 08:00:00,23,6,2.2294333333333336,1.4890833333333333,high
2026-07-10 08:10:00,11,2,1.9982000000000002,1.4890833333333333,high
2026-07-10 08:20:00,4,1,1.07555,1.4890833333333333,low
2026-07-10 08:30:00,13,8,1.6788333333333332,1.4890833333333333,high
2026-07-10 08:40:00,3,1,1.29915,1.4890833333333333,low
2026-07-10 08:50:00,12,0,2.0641333333333334,1.4890833333333333,high
2026-07-10 09:00:00,5,7,1.86835,1.4890833333333333,high
2026-07-10 09:10:00,20,1,2.1841333333333335,1.4890833333333333,high
2026-07-10 09:20:00,6,0,1.3534,1.4890833333333333,low
2026-07-10 09:30:00,7,1,1.3739000000000001,1.4890833333333333,low
2026-07-10 09:40:00,3,2,1.30855,1.4890833333333333,low
2026-07-10 09:50:00,3,0,1.6263030303030301,1.4890833333333333,high
